,index,word,length
21,21,abracadinhosparatodav,21
22,22,abracadinhostod,15
47,47,aceitamaristel,14
53,53,achievement,11
148,148,agarradinhosmuit,16
179,179,ahahahahahah,12
180,180,ahahahahahahah,14
181,181,ahahahahahahahah,16
182,182,ahahahahahahahahahahahahahahahahahahahahah,42
236,236,alexandrenet,12
237,237,alexandrenetodigitalconsulting,30
277,277,altogethernow,13
299,299,amaresparasiempr,16
334,334,amordeperdica,13
338,338,amorzitomuit,12
339,339,amorzitoquer,12
359,359,andebolportug,13
379,379,aniversariotenh,15
405,405,antoniocost,11
411,411,anygabriely,11
452,452,apoieumautornac,15
454,454,apologizing,11
464,464,apresentacom,12
590,590,atackontitan,12
632,632,aumalinetecnolog,16
645,645,autodetermin,12
665,665,avantipalestr,13
677,677,aviationacademy,15
678,678,aviationtraining,16
700,700,azulebrancoeocor,16
927,927,bolsonarogenoc,14
953,953,bournemouth,11
980,980,breaktudoaward,14
1021,1021,btsbackwithbut,14
1045,1045,bundesligaeleven,16
1109,1109,caleidoscopi,12
1127,1127,camilocastelobranc,18
1156,1156,cantskiportug,13
1158,1158,canyamanemportug,16
1237,1237,castelodevid,12
1309,1309,championship,12
1310,1310,championshipeleven,18
1320,1320,charronabokacoracaopart,23
1358,1358,chsuwheieoeb,12
1370,1370,cidadealertarj,14
1414,1414,clinicariadn,12
1452,1452,coincidissem,12
1509,1509,comparticip,11
1548,1548,concentraca,11
1577,1577,confidencial,12
1580,1580,conflicting,11
1588,1588,congratulatiom,14
1589,1589,congratulazion,14
1601,1601,consecutivodonos,16
1608,1608,consentimen,11
1612,1612,conservatori,12
1648,1648,contraditori,12
1654,1654,contribuint,11
1696,1696,correligion,11
1741,1741,createstalent,13
